评论ID,评论内容,商品名称,商品品牌,商品颜色规格,商品价格,清洗后评论,分词后评论,来源文件
2295813469762487845,性价比超高的一款手机,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,性价比超高的一款手机,性价比 超高 一款 手机,商品8.csv
2292794137818169883,产品质量不错👍,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,产品质量不错,产品质量 不错,商品8.csv
2286001873406139184,手机拍照技术可以,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,6GB+128GB天青蓝,969,手机拍照技术可以,手机 拍照 技术 可以,商品8.csv
2280636227864498781,操作简单明了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,操作简单明了,操作 简单明了,商品8.csv
2320801952390191366,不错正品保证,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,不错正品保证,不错 正品 保证,商品8.csv
2303189708840110529,买给小孩的，觉得玩游戏运行流畅。不卡,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+256GB子夜黑,1199,买给小孩的觉得玩游戏运行流畅不卡,小孩 觉得 玩游戏 运行 流畅 不卡,商品8.csv
2301686802685101086,收到了，非常好用，，，,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,收到了非常好用,收到 非常 好用,商品8.csv
2298088299757045576,操作方便，运行流畅。,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,操作方便运行流畅,操作 方便 运行 流畅,商品8.csv
2292813733208000748,非常满意了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,非常满意了,非常 满意,商品8.csv
